scientific_name,park_name,observations,common_names,category,conservation_status
Didymodon fallax,Bryce National Park,84,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax,Great Smoky Mountains National Park,81,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax,Yellowstone National Park,245,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax,Yosemite National Park,137,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax var. reflexus,Bryce National Park,91,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax var. reflexus,Great Smoky Mountains National Park,67,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax var. reflexus,Yellowstone National Park,208,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon fallax var. reflexus,Yosemite National Park,163,Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon rigidulus,Bryce National Park,88,Rigid Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon rigidulus,Great Smoky Mountains National Park,71,Rigid Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon rigidulus,Yellowstone National Park,232,Rigid Didymodon Moss,Nonvascular Plant,Not Protected
Didymodon rigidulus,Yosemite National Park,167,Rigid Didymodon Moss,Nonvascular Plant,Not Protected
Diervilla lonicera,Bryce National Park,104,Northern Bush-Honey-Suckle,Vascular Plant,Not Protected
Diervilla lonicera,Great Smoky Mountains National Park,93,Northern Bush-Honey-Suckle,Vascular Plant,Not Protected
Diervilla lonicera,Yellowstone National Park,246,Northern Bush-Honey-Suckle,Vascular Plant,Not Protected
Diervilla lonicera,Yosemite National Park,173,Northern Bush-Honey-Suckle,Vascular Plant,Not Protected
Diervilla sessilifolia,Bryce National Park,102,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Vascular Plant,Not Protected
Diervilla sessilifolia,Great Smoky Mountains National Park,81,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Vascular Plant,Not Protected
Diervilla sessilifolia,Yellowstone National Park,231,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Vascular Plant,Not Protected
Diervilla sessilifolia,Yosemite National Park,190,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Vascular Plant,Not Protected
Digitalis purpurea,Bryce National Park,157,"Fox-Glove, Purple Foxglove, Purple Foxglove",Vascular Plant,Not Protected
Digitalis purpurea,Great Smoky Mountains National Park,114,"Fox-Glove, Purple Foxglove, Purple Foxglove",Vascular Plant,Not Protected
Digitalis purpurea,Yellowstone National Park,503,"Fox-Glove, Purple Foxglove, Purple Foxglove",Vascular Plant,Not Protected
Digitalis purpurea,Yosemite National Park,291,"Fox-Glove, Purple Foxglove, Purple Foxglove",Vascular Plant,Not Protected
Digitaria ciliaris,Bryce National Park,91,Southern Crabgrass,Vascular Plant,Not Protected
Digitaria ciliaris,Great Smoky Mountains National Park,87,Southern Crabgrass,Vascular Plant,Not Protected
Digitaria ciliaris,Yellowstone National Park,233,Southern Crabgrass,Vascular Plant,Not Protected
Digitaria ciliaris,Yosemite National Park,155,Southern Crabgrass,Vascular Plant,Not Protected
Digitaria filiformis,Bryce National Park,83,"Crabgrass, Slender Crabgrass",Vascular Plant,Not Protected
Digitaria filiformis,Great Smoky Mountains National Park,81,"Crabgrass, Slender Crabgrass",Vascular Plant,Not Protected
Digitaria filiformis,Yellowstone National Park,274,"Crabgrass, Slender Crabgrass",Vascular Plant,Not Protected
Digitaria filiformis,Yosemite National Park,167,"Crabgrass, Slender Crabgrass",Vascular Plant,Not Protected
Digitaria ischaemum,Bryce National Park,171,"Smooth Crabgrass, Small Crabgrass, Smooth Crab Grass, Smooth Crabgrass",Vascular Plant,Not Protected
Digitaria ischaemum,Great Smoky Mountains National Park,94,"Smooth Crabgrass, Small Crabgrass, Smooth Crab Grass, Smooth Crabgrass",Vascular Plant,Not Protected
Digitaria ischaemum,Yellowstone National Park,498,"Smooth Crabgrass, Small Crabgrass, Smooth Crab Grass, Smooth Crabgrass",Vascular Plant,Not Protected
Digitaria ischaemum,Yosemite National Park,297,"Smooth Crabgrass, Small Crabgrass, Smooth Crab Grass, Smooth Crabgrass",Vascular Plant,Not Protected
Digitaria sanguinalis,Bryce National Park,209,"Crabgrass, Hairy Crabgrass, Crabgrass, Hairy Crab Grass, Hairy Crabgrass, Large Crabgrass, Purple Crabgrass, Redhair Crabgrass",Vascular Plant,Not Protected
Digitaria sanguinalis,Great Smoky Mountains National Park,147,"Crabgrass, Hairy Crabgrass, Crabgrass, Hairy Crab Grass, Hairy Crabgrass, Large Crabgrass, Purple Crabgrass, Redhair Crabgrass",Vascular Plant,Not Protected
Digitaria sanguinalis,Yellowstone National Park,489,"Crabgrass, Hairy Crabgrass, Crabgrass, Hairy Crab Grass, Hairy Crabgrass, Large Crabgrass, Purple Crabgrass, Redhair Crabgrass",Vascular Plant,Not Protected
Digitaria sanguinalis,Yosemite National Park,281,"Crabgrass, Hairy Crabgrass, Crabgrass, Hairy Crab Grass, Hairy Crabgrass, Large Crabgrass, Purple Crabgrass, Redhair Crabgrass",Vascular Plant,Not Protected
Digitaria violascens,Bryce National Park,112,Violet Crabgrass,Vascular Plant,Not Protected
Digitaria violascens,Great Smoky Mountains National Park,78,Violet Crabgrass,Vascular Plant,Not Protected
Digitaria violascens,Yellowstone National Park,270,Violet Crabgrass,Vascular Plant,Not Protected
Digitaria violascens,Yosemite National Park,132,Violet Crabgrass,Vascular Plant,Not Protected
Diodia teres,Bryce National Park,88,Rough Buttonweed,Vascular Plant,Not Protected
Diodia teres,Great Smoky Mountains National Park,102,Rough Buttonweed,Vascular Plant,Not Protected
Diodia teres,Yellowstone National Park,266,Rough Buttonweed,Vascular Plant,Not Protected
Diodia teres,Yosemite National Park,125,Rough Buttonweed,Vascular Plant,Not Protected
Diodia virginiana,Bryce National Park,87,"Larger Button-Weed, Virginia Buttonweed",Vascular Plant,Not Protected
Diodia virginiana,Great Smoky Mountains National Park,83,"Larger Button-Weed, Virginia Buttonweed",Vascular Plant,Not Protected
Diodia virginiana,Yellowstone National Park,243,"Larger Button-Weed, Virginia Buttonweed",Vascular Plant,Not Protected
Diodia virginiana,Yosemite National Park,125,"Larger Button-Weed, Virginia Buttonweed",Vascular Plant,Not Protected
Dioscorea oppositifolia,Bryce National Park,96,Chinese Yam,Vascular Plant,Not Protected
Dioscorea oppositifolia,Great Smoky Mountains National Park,41,Chinese Yam,Vascular Plant,Not Protected
Dioscorea oppositifolia,Yellowstone National Park,230,Chinese Yam,Vascular Plant,Not Protected
Dioscorea oppositifolia,Yosemite National Park,161,Chinese Yam,Vascular Plant,Not Protected
Dioscorea quaternata,Bryce National Park,102,Wild Yam,Vascular Plant,Not Protected
Dioscorea quaternata,Great Smoky Mountains National Park,58,Wild Yam,Vascular Plant,Not Protected
Dioscorea quaternata,Yellowstone National Park,201,Wild Yam,Vascular Plant,Not Protected
Dioscorea quaternata,Yosemite National Park,150,Wild Yam,Vascular Plant,Not Protected
Dioscorea villosa,Bryce National Park,121,Wild Yam,Vascular Plant,Not Protected
Dioscorea villosa,Great Smoky Mountains National Park,68,Wild Yam,Vascular Plant,Not Protected
Dioscorea villosa,Yellowstone National Park,242,Wild Yam,Vascular Plant,Not Protected
Dioscorea villosa,Yosemite National Park,139,Wild Yam,Vascular Plant,Not Protected
Diospyros virginiana,Bryce National Park,71,Persimmon,Vascular Plant,Not Protected
Diospyros virginiana,Great Smoky Mountains National Park,97,Persimmon,Vascular Plant,Not Protected
Diospyros virginiana,Yellowstone National Park,238,Persimmon,Vascular Plant,Not Protected
Diospyros virginiana,Yosemite National Park,145,Persimmon,Vascular Plant,Not Protected
Diphylleia cymosa,Bryce National Park,117,"Umbrella Leaf, Umbrella-Leaf",Vascular Plant,Not Protected
Diphylleia cymosa,Great Smoky Mountains National Park,50,"Umbrella Leaf, Umbrella-Leaf",Vascular Plant,Not Protected
Diphylleia cymosa,Yellowstone National Park,257,"Umbrella Leaf, Umbrella-Leaf",Vascular Plant,Not Protected
Diphylleia cymosa,Yosemite National Park,185,"Umbrella Leaf, Umbrella-Leaf",Vascular Plant,Not Protected
Diphyscium cumberlandianum,Bryce National Park,93,Cumberland Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium cumberlandianum,Great Smoky Mountains National Park,51,Cumberland Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium cumberlandianum,Yellowstone National Park,250,Cumberland Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium cumberlandianum,Yosemite National Park,123,Cumberland Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium foliosum,Bryce National Park,95,Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium foliosum,Great Smoky Mountains National Park,36,Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium foliosum,Yellowstone National Park,239,Diphyscium Moss,Nonvascular Plant,Not Protected
Diphyscium foliosum,Yosemite National Park,152,Diphyscium Moss,Nonvascular Plant,Not Protected
Diplazium pycnocarpon,Bryce National Park,96,Glade Fern,Vascular Plant,Not Protected
Diplazium pycnocarpon,Great Smoky Mountains National Park,74,Glade Fern,Vascular Plant,Not Protected
Diplazium pycnocarpon,Yellowstone National Park,270,Glade Fern,Vascular Plant,Not Protected
Diplazium pycnocarpon,Yosemite National Park,133,Glade Fern,Vascular Plant,Not Protected
Dipsacus fullonum,Bryce National Park,233,"Common Teasel, Fuller's Teasel, Teasel, Venuscup Teasle, Teasel",Vascular Plant,Not Protected
Dipsacus fullonum,Great Smoky Mountains National Park,113,"Common Teasel, Fuller's Teasel, Teasel, Venuscup Teasle, Teasel",Vascular Plant,Not Protected
Dipsacus fullonum,Yellowstone National Park,495,"Common Teasel, Fuller's Teasel, Teasel, Venuscup Teasle, Teasel",Vascular Plant,Not Protected
Dipsacus fullonum,Yosemite National Park,321,"Common Teasel, Fuller's Teasel, Teasel, Venuscup Teasle, Teasel",Vascular Plant,Not Protected
Dirca palustris,Bryce National Park,78,Eastern Leatherwood,Vascular Plant,Not Protected
Dirca palustris,Great Smoky Mountains National Park,93,Eastern Leatherwood,Vascular Plant,Not Protected
Dirca palustris,Yellowstone National Park,236,Eastern Leatherwood,Vascular Plant,Not Protected
Dirca palustris,Yosemite National Park,154,Eastern Leatherwood,Vascular Plant,Not Protected
Disporum hookeri,Bryce National Park,92,Drops Of Gold,Vascular Plant,Not Protected
Disporum hookeri,Great Smoky Mountains National Park,47,Drops Of Gold,Vascular Plant,Not Protected
Disporum hookeri,Yellowstone National Park,242,Drops Of Gold,Vascular Plant,Not Protected
Disporum hookeri,Yosemite National Park,139,Drops Of Gold,Vascular Plant,Not Protected
Distichlis spicata,Bryce National Park,103,"Desert Saltgrass, Inland Saltgrass, Marsh Spikegrass, Saltgrass, Seashore Saltgrass",Vascular Plant,Not Protected
Distichlis spicata,Great Smoky Mountains National Park,84,"Desert Saltgrass, Inland Saltgrass, Marsh Spikegrass, Saltgrass, Seashore Saltgrass",Vascular Plant,Not Protected
Distichlis spicata,Yellowstone National Park,241,"Desert Saltgrass, Inland Saltgrass, Marsh Spikegrass, Saltgrass, Seashore Saltgrass",Vascular Plant,Not Protected
Distichlis spicata,Yosemite National Park,147,"Desert Saltgrass, Inland Saltgrass, Marsh Spikegrass, Saltgrass, Seashore Saltgrass",Vascular Plant,Not Protected
Ditrichum lineare,Bryce National Park,46,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum lineare,Great Smoky Mountains National Park,63,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum lineare,Yellowstone National Park,255,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum lineare,Yosemite National Park,163,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pallidum,Bryce National Park,121,Pale Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pallidum,Great Smoky Mountains National Park,69,Pale Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pallidum,Yellowstone National Park,267,Pale Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pallidum,Yosemite National Park,130,Pale Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pusillum,Bryce National Park,115,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pusillum,Great Smoky Mountains National Park,98,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pusillum,Yellowstone National Park,235,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum pusillum,Yosemite National Park,160,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum rhynchostegium,Bryce National Park,94,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum rhynchostegium,Great Smoky Mountains National Park,81,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum rhynchostegium,Yellowstone National Park,232,Ditrichum Moss,Nonvascular Plant,Not Protected
Ditrichum rhynchostegium,Yosemite National Park,153,Ditrichum Moss,Nonvascular Plant,Not Protected
Dodecatheon alpinum,Bryce National Park,99,Alpine Shootingstar,Vascular Plant,Not Protected
Dodecatheon alpinum,Great Smoky Mountains National Park,85,Alpine Shootingstar,Vascular Plant,Not Protected
Dodecatheon alpinum,Yellowstone National Park,206,Alpine Shootingstar,Vascular Plant,Not Protected
Dodecatheon alpinum,Yosemite National Park,159,Alpine Shootingstar,Vascular Plant,Not Protected
Dodecatheon conjugens,Bryce National Park,89,Bonneville Shootingstar,Vascular Plant,Not Protected
Dodecatheon conjugens,Great Smoky Mountains National Park,75,Bonneville Shootingstar,Vascular Plant,Not Protected
Dodecatheon conjugens,Yellowstone National Park,240,Bonneville Shootingstar,Vascular Plant,Not Protected
Dodecatheon conjugens,Yosemite National Park,152,Bonneville Shootingstar,Vascular Plant,Not Protected
Dodecatheon hendersonii,Bryce National Park,101,Mosquito Bills,Vascular Plant,Not Protected
Dodecatheon hendersonii,Great Smoky Mountains National Park,26,Mosquito Bills,Vascular Plant,Not Protected
Dodecatheon hendersonii,Yellowstone National Park,268,Mosquito Bills,Vascular Plant,Not Protected
Dodecatheon hendersonii,Yosemite National Park,161,Mosquito Bills,Vascular Plant,Not Protected
Dodecatheon jeffreyi,Bryce National Park,118,Sierrra Shootingstar,Vascular Plant,Not Protected
Dodecatheon jeffreyi,Great Smoky Mountains National Park,61,Sierrra Shootingstar,Vascular Plant,Not Protected
Dodecatheon jeffreyi,Yellowstone National Park,225,Sierrra Shootingstar,Vascular Plant,Not Protected
Dodecatheon jeffreyi,Yosemite National Park,128,Sierrra Shootingstar,Vascular Plant,Not Protected
Dodecatheon meadia,Bryce National Park,116,"Blazing Star, Shootingstar",Vascular Plant,Not Protected
Dodecatheon meadia,Great Smoky Mountains National Park,63,"Blazing Star, Shootingstar",Vascular Plant,Not Protected
Dodecatheon meadia,Yellowstone National Park,269,"Blazing Star, Shootingstar",Vascular Plant,Not Protected
Dodecatheon meadia,Yosemite National Park,185,"Blazing Star, Shootingstar",Vascular Plant,Not Protected
Dodecatheon pulchellum var. pulchellum,Bryce National Park,98,"Beautiful Shooting Star, Shooting Star, Slimpod Shooting Star",Vascular Plant,Not Protected
Dodecatheon pulchellum var. pulchellum,Great Smoky Mountains National Park,45,"Beautiful Shooting Star, Shooting Star, Slimpod Shooting Star",Vascular Plant,Not Protected
Dodecatheon pulchellum var. pulchellum,Yellowstone National Park,254,"Beautiful Shooting Star, Shooting Star, Slimpod Shooting Star",Vascular Plant,Not Protected
Dodecatheon pulchellum var. pulchellum,Yosemite National Park,160,"Beautiful Shooting Star, Shooting Star, Slimpod Shooting Star",Vascular Plant,Not Protected
Dodecatheon subalpinum,Bryce National Park,114,Sierra Shootingstar,Vascular Plant,Not Protected
Dodecatheon subalpinum,Great Smoky Mountains National Park,71,Sierra Shootingstar,Vascular Plant,Not Protected
Dodecatheon subalpinum,Yellowstone National Park,206,Sierra Shootingstar,Vascular Plant,Not Protected
Dodecatheon subalpinum,Yosemite National Park,149,Sierra Shootingstar,Vascular Plant,Not Protected
Doellingeria infirma,Bryce National Park,104,Cornel-Leaf Whitetop,Vascular Plant,Not Protected
Doellingeria infirma,Great Smoky Mountains National Park,68,Cornel-Leaf Whitetop,Vascular Plant,Not Protected
Doellingeria infirma,Yellowstone National Park,262,Cornel-Leaf Whitetop,Vascular Plant,Not Protected
Doellingeria infirma,Yosemite National Park,166,Cornel-Leaf Whitetop,Vascular Plant,Not Protected
Doellingeria umbellata var. umbellata,Bryce National Park,109,Parasol Whitetop,Vascular Plant,Not Protected
Doellingeria umbellata var. umbellata,Great Smoky Mountains National Park,72,Parasol Whitetop,Vascular Plant,Not Protected
Doellingeria umbellata var. umbellata,Yellowstone National Park,220,Parasol Whitetop,Vascular Plant,Not Protected
Doellingeria umbellata var. umbellata,Yosemite National Park,159,Parasol Whitetop,Vascular Plant,Not Protected
Dolichonyx oryzivorus,Bryce National Park,101,Bobolink,Bird,Not Protected
Dolichonyx oryzivorus,Great Smoky Mountains National Park,61,Bobolink,Bird,Not Protected
Dolichonyx oryzivorus,Yellowstone National Park,256,Bobolink,Bird,Not Protected
Dolichonyx oryzivorus,Yosemite National Park,127,Bobolink,Bird,Not Protected
Dorosoma cepedianum,Bryce National Park,98,Gizzard Shad,Fish,Not Protected
Dorosoma cepedianum,Great Smoky Mountains National Park,52,Gizzard Shad,Fish,Not Protected
Dorosoma cepedianum,Yellowstone National Park,267,Gizzard Shad,Fish,Not Protected
Dorosoma cepedianum,Yosemite National Park,116,Gizzard Shad,Fish,Not Protected
Douglasia montana,Bryce National Park,75,Rocky Mountain Dwarf-Primrose,Vascular Plant,Not Protected
Douglasia montana,Great Smoky Mountains National Park,47,Rocky Mountain Dwarf-Primrose,Vascular Plant,Not Protected
Douglasia montana,Yellowstone National Park,236,Rocky Mountain Dwarf-Primrose,Vascular Plant,Not Protected
Douglasia montana,Yosemite National Park,117,Rocky Mountain Dwarf-Primrose,Vascular Plant,Not Protected
Downingia montana,Bryce National Park,94,Sierra Calicoflower,Vascular Plant,Not Protected
Downingia montana,Great Smoky Mountains National Park,64,Sierra Calicoflower,Vascular Plant,Not Protected
Downingia montana,Yellowstone National Park,259,Sierra Calicoflower,Vascular Plant,Not Protected
Downingia montana,Yosemite National Park,141,Sierra Calicoflower,Vascular Plant,Not Protected
Draba albertina,Bryce National Park,88,"Arc Dome Draba, Slender Draba",Vascular Plant,Not Protected
Draba albertina,Great Smoky Mountains National Park,93,"Arc Dome Draba, Slender Draba",Vascular Plant,Not Protected
Draba albertina,Yellowstone National Park,239,"Arc Dome Draba, Slender Draba",Vascular Plant,Not Protected
Draba albertina,Yosemite National Park,191,"Arc Dome Draba, Slender Draba",Vascular Plant,Not Protected
Draba aurea,Bryce National Park,100,"Golden Draba, Golden Whitlowgrass",Vascular Plant,Not Protected
Draba aurea,Great Smoky Mountains National Park,66,"Golden Draba, Golden Whitlowgrass",Vascular Plant,Not Protected
Draba aurea,Yellowstone National Park,242,"Golden Draba, Golden Whitlowgrass",Vascular Plant,Not Protected
Draba aurea,Yosemite National Park,157,"Golden Draba, Golden Whitlowgrass",Vascular Plant,Not Protected
Draba borealis,Bryce National Park,97,Boreal Draba,Vascular Plant,Not Protected
Draba borealis,Great Smoky Mountains National Park,59,Boreal Draba,Vascular Plant,Not Protected
Draba borealis,Yellowstone National Park,248,Boreal Draba,Vascular Plant,Not Protected
Draba borealis,Yosemite National Park,131,Boreal Draba,Vascular Plant,Not Protected
Draba brachycarpa,Bryce National Park,86,"Short-Fruited Whitlow Grass, Short-Fruited Whitlow-Grass",Vascular Plant,Not Protected
Draba brachycarpa,Great Smoky Mountains National Park,100,"Short-Fruited Whitlow Grass, Short-Fruited Whitlow-Grass",Vascular Plant,Not Protected
Draba brachycarpa,Yellowstone National Park,266,"Short-Fruited Whitlow Grass, Short-Fruited Whitlow-Grass",Vascular Plant,Not Protected
Draba brachycarpa,Yosemite National Park,112,"Short-Fruited Whitlow Grass, Short-Fruited Whitlow-Grass",Vascular Plant,Not Protected
Draba breweri,Bryce National Park,100,Cushion Draba,Vascular Plant,Not Protected
Draba breweri,Great Smoky Mountains National Park,97,Cushion Draba,Vascular Plant,Not Protected
Draba breweri,Yellowstone National Park,238,Cushion Draba,Vascular Plant,Not Protected
Draba breweri,Yosemite National Park,109,Cushion Draba,Vascular Plant,Not Protected
Draba crassa,Bryce National Park,74,Thickleaf Draba,Vascular Plant,Not Protected
Draba crassa,Great Smoky Mountains National Park,53,Thickleaf Draba,Vascular Plant,Not Protected
Draba crassa,Yellowstone National Park,248,Thickleaf Draba,Vascular Plant,Not Protected
Draba crassa,Yosemite National Park,115,Thickleaf Draba,Vascular Plant,Not Protected
Draba crassifolia,Bryce National Park,61,"Rocky Mountain Draba, Snowbed Draba, Snowbed Whitlowgrass, Snowbed Whitlow-Grass",Vascular Plant,Not Protected
Draba crassifolia,Great Smoky Mountains National Park,55,"Rocky Mountain Draba, Snowbed Draba, Snowbed Whitlowgrass, Snowbed Whitlow-Grass",Vascular Plant,Not Protected
Draba crassifolia,Yellowstone National Park,268,"Rocky Mountain Draba, Snowbed Draba, Snowbed Whitlowgrass, Snowbed Whitlow-Grass",Vascular Plant,Not Protected
Draba crassifolia,Yosemite National Park,119,"Rocky Mountain Draba, Snowbed Draba, Snowbed Whitlowgrass, Snowbed Whitlow-Grass",Vascular Plant,Not Protected
Draba densifolia,Bryce National Park,135,Denseleaf Draba,Vascular Plant,Not Protected
Draba densifolia,Great Smoky Mountains National Park,101,Denseleaf Draba,Vascular Plant,Not Protected
Draba densifolia,Yellowstone National Park,269,Denseleaf Draba,Vascular Plant,Not Protected
Draba densifolia,Yosemite National Park,161,Denseleaf Draba,Vascular Plant,Not Protected
Draba globosa,Bryce National Park,83,Beavertip Draba,Vascular Plant,Not Protected
Draba globosa,Great Smoky Mountains National Park,39,Beavertip Draba,Vascular Plant,Not Protected
Draba globosa,Yellowstone National Park,269,Beavertip Draba,Vascular Plant,Not Protected
Draba globosa,Yosemite National Park,199,Beavertip Draba,Vascular Plant,Not Protected
Draba incerta,Bryce National Park,105,Yellowstone Draba,Vascular Plant,Not Protected
Draba incerta,Great Smoky Mountains National Park,62,Yellowstone Draba,Vascular Plant,Not Protected
Draba incerta,Yellowstone National Park,238,Yellowstone Draba,Vascular Plant,Not Protected
Draba incerta,Yosemite National Park,105,Yellowstone Draba,Vascular Plant,Not Protected
Draba lemmonii var. lemmonii,Bryce National Park,111,"Granite Draba, Lemmon's Draba",Vascular Plant,Not Protected
Draba lemmonii var. lemmonii,Great Smoky Mountains National Park,101,"Granite Draba, Lemmon's Draba",Vascular Plant,Not Protected
Draba lemmonii var. lemmonii,Yellowstone National Park,257,"Granite Draba, Lemmon's Draba",Vascular Plant,Not Protected
Draba lemmonii var. lemmonii,Yosemite National Park,168,"Granite Draba, Lemmon's Draba",Vascular Plant,Not Protected
Draba lonchocarpa var. lonchocarpa,Bryce National Park,88,Lancepod Draba,Vascular Plant,Not Protected
Draba lonchocarpa var. lonchocarpa,Great Smoky Mountains National Park,44,Lancepod Draba,Vascular Plant,Not Protected
Draba lonchocarpa var. lonchocarpa,Yellowstone National Park,232,Lancepod Draba,Vascular Plant,Not Protected
Draba lonchocarpa var. lonchocarpa,Yosemite National Park,180,Lancepod Draba,Vascular Plant,Not Protected
Draba nemorosa,Bryce National Park,111,"Woodland Draba, Woodland Whitlowgrass, Woods Draba",Vascular Plant,Not Protected
Draba nemorosa,Great Smoky Mountains National Park,48,"Woodland Draba, Woodland Whitlowgrass, Woods Draba",Vascular Plant,Not Protected
Draba nemorosa,Yellowstone National Park,225,"Woodland Draba, Woodland Whitlowgrass, Woods Draba",Vascular Plant,Not Protected
Draba nemorosa,Yosemite National Park,174,"Woodland Draba, Woodland Whitlowgrass, Woods Draba",Vascular Plant,Not Protected
Draba oligosperma,Bryce National Park,167,"Fewseed Draba, Glacier Draba",Vascular Plant,Not Protected
Draba oligosperma,Great Smoky Mountains National Park,34,"Fewseed Draba, Glacier Draba",Vascular Plant,Not Protected
Draba oligosperma,Yellowstone National Park,234,"Fewseed Draba, Glacier Draba",Vascular Plant,Not Protected
Draba oligosperma,Yosemite National Park,149,"Fewseed Draba, Glacier Draba",Vascular Plant,Not Protected
Draba paysonii var. paysonii,Bryce National Park,99,Payson's Draba,Vascular Plant,Not Protected
Draba paysonii var. paysonii,Great Smoky Mountains National Park,27,Payson's Draba,Vascular Plant,Not Protected
Draba paysonii var. paysonii,Yellowstone National Park,219,Payson's Draba,Vascular Plant,Not Protected
Draba paysonii var. paysonii,Yosemite National Park,175,Payson's Draba,Vascular Plant,Not Protected
Draba paysonii var. treleasii,Bryce National Park,102,Trelease's Draba,Vascular Plant,Not Protected
Draba paysonii var. treleasii,Great Smoky Mountains National Park,59,Trelease's Draba,Vascular Plant,Not Protected
Draba paysonii var. treleasii,Yellowstone National Park,247,Trelease's Draba,Vascular Plant,Not Protected
Draba paysonii var. treleasii,Yosemite National Park,117,Trelease's Draba,Vascular Plant,Not Protected
Draba praealta,Bryce National Park,97,Tall Draba,Vascular Plant,Not Protected
Draba praealta,Great Smoky Mountains National Park,92,Tall Draba,Vascular Plant,Not Protected
Draba praealta,Yellowstone National Park,272,Tall Draba,Vascular Plant,Not Protected
Draba praealta,Yosemite National Park,101,Tall Draba,Vascular Plant,Not Protected
Draba ramosissima,Bryce National Park,99,"Branched Whitlow Grass, Branching Whitlow Grass",Vascular Plant,Not Protected
Draba ramosissima,Great Smoky Mountains National Park,101,"Branched Whitlow Grass, Branching Whitlow Grass",Vascular Plant,Not Protected
Draba ramosissima,Yellowstone National Park,232,"Branched Whitlow Grass, Branching Whitlow Grass",Vascular Plant,Not Protected
Draba ramosissima,Yosemite National Park,168,"Branched Whitlow Grass, Branching Whitlow Grass",Vascular Plant,Not Protected
Draba reptans,Bryce National Park,97,"Carolina Draba, Carolina Whitlowgrass, Creeping Draba",Vascular Plant,Not Protected
Draba reptans,Great Smoky Mountains National Park,100,"Carolina Draba, Carolina Whitlowgrass, Creeping Draba",Vascular Plant,Not Protected
Draba reptans,Yellowstone National Park,253,"Carolina Draba, Carolina Whitlowgrass, Creeping Draba",Vascular Plant,Not Protected
Draba reptans,Yosemite National Park,124,"Carolina Draba, Carolina Whitlowgrass, Creeping Draba",Vascular Plant,Not Protected
Draba ventosa,Bryce National Park,128,"Wind Draba, Wind River Draba",Vascular Plant,Not Protected
Draba ventosa,Great Smoky Mountains National Park,118,"Wind Draba, Wind River Draba",Vascular Plant,Not Protected
Draba ventosa,Yellowstone National Park,240,"Wind Draba, Wind River Draba",Vascular Plant,Not Protected
Draba ventosa,Yosemite National Park,137,"Wind Draba, Wind River Draba",Vascular Plant,Not Protected
Draba verna,Bryce National Park,203,"Spring Draba, Spring Whitlowgrass, Whitlow Grass",Vascular Plant,Not Protected
Draba verna,Great Smoky Mountains National Park,173,"Spring Draba, Spring Whitlowgrass, Whitlow Grass",Vascular Plant,Not Protected
Draba verna,Yellowstone National Park,485,"Spring Draba, Spring Whitlowgrass, Whitlow Grass",Vascular Plant,Not Protected
Draba verna,Yosemite National Park,281,"Spring Draba, Spring Whitlowgrass, Whitlow Grass",Vascular Plant,Not Protected
Dracocephalum parviflorum,Bryce National Park,80,American Dragonhead,Vascular Plant,Not Protected
Dracocephalum parviflorum,Great Smoky Mountains National Park,95,American Dragonhead,Vascular Plant,Not Protected
Dracocephalum parviflorum,Yellowstone National Park,316,American Dragonhead,Vascular Plant,Not Protected
Dracocephalum parviflorum,Yosemite National Park,116,American Dragonhead,Vascular Plant,Not Protected
Dracocephalum thymiflorum,Bryce National Park,117,"Thymeleaf Dragonhead, Thyme-Leaf Dragonhead",Vascular Plant,Not Protected
