scientific_name,common_names,category,conservation_status
Callitriche palustris,"Spiny Waterstarwort, Spring Waterstarwort, Vernal Waterstarwort, Vernal Water-Starwort",Vascular Plant,
Callitriche terrestris,Water Star-Wort,Vascular Plant,
Callospermophilus lateralis,Golden-Mantled Ground Squirrel,Mammal,
Calocedrus decurrens,Incense Cedar,Vascular Plant,
Calochortus albus,White Fairy-Lantern,Vascular Plant,
Calochortus eurycarpus,"Bigpod Mariposa Lily, White Mariposa Lily",Vascular Plant,
Calochortus invenustus,Plain Mariposa Lily,Vascular Plant,
Calochortus leichtlinii,"Leichtlin's Mariposa Lily, Smokey Mariposa",Vascular Plant,
Calochortus luteus,Yellow Mariposa Lily,Vascular Plant,
Calochortus minimus,Sierra Mariposa Lily,Vascular Plant,
Calochortus nudus,Naked Mariposa Lily,Vascular Plant,
Calochortus superbus,Yellow Mariposa,Vascular Plant,
Calochortus venustus,Butterfly Mariposa Lily,Vascular Plant,
Calochortus vestae,Coast Range Mariposa Lily,Vascular Plant,
Calopogon tuberosus var. tuberosus,Tuberous Grasspink,Vascular Plant,
Caltha leptosepala,"Elkslip Marshmarigold, Slendersepal Marshmarigold, White Marsh Marigold, White Marshmarigold, White Marsh-Marigold",Vascular Plant,
Calycadenia mollis,Soft Western Rosinweed,Vascular Plant,
Calycadenia oppositifolia,Butte County Western Rosinweed,Vascular Plant,
Calycanthus floridus,"Carolina-Allspice, Eastern Sweetshrub",Vascular Plant,
Calycanthus floridus var. floridus,Eastern Sweetshrub,Vascular Plant,
Calycanthus floridus var. glaucus,Sweetshrub,Vascular Plant,
Calycanthus occidentalis,"California Spicebush, California-Allspice, Western Sweetshrub",Vascular Plant,
Calypogeja muelleriana,Mªller's Calypogeja,Nonvascular Plant,
Calypogeja muelleriana ssp. blomquistii,Blomquist's Calypogeja,Nonvascular Plant,
Calypogeja neesiana,Nees' Calypogeja,Nonvascular Plant,
Calypogeja peruviana,Peruvian Calypogeja,Nonvascular Plant,
Calypogeja sphagnicola,Sphagnum Calypogeja,Nonvascular Plant,
Calypogeja sullivantii,Sullivant's Calypogeja,Nonvascular Plant,
Calypso bulbosa,"Fairy Slipper, Fairyslipper, Fairyslipper Orchid, Fairy-Slipper Orchid",Vascular Plant,
Calypte anna,Anna's Hummingbird,Bird,
Calystegia malacophylla ssp. malacophylla,Sierra False Bindweed,Vascular Plant,
Calystegia sepium,Hedge Bindweed,Vascular Plant,
Calystegia spithamaea,Low Bindweed,Vascular Plant,
Camassia quamash,"Common Camas, Small Camas",Vascular Plant,
Camassia quamash ssp. breviflora,Small Camas,Vascular Plant,
Camassia quamash ssp. quamash,Small Camas,Vascular Plant,
Camelina microcarpa,"Littlepod False Flax, Little-Pod False Flax, Littlepod Falseflax, Littleseed Falseflax, Small Fruited Falseflax, Smallseed Falseflax",Vascular Plant,
Camelina sativa,Gold-Of-Pleasure,Vascular Plant,
Camissonia breviflora,"Fewflower Evening Primrose, Fewflower Evening-Primrose, Shortflower Suncup",Vascular Plant,
Camissonia contorta,"Contorted Suncup, Plains Evening Primrose, Plains Eveningprimrose, Plains Evening-Primrose",Vascular Plant,
Camissonia lacustris,Grassland Suncup,Vascular Plant,
Camissonia luciae,Santa Lucia Suncup,Vascular Plant,
Camissonia sierrae ssp. alticola,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Vascular Plant,Species of Concern
Camissonia sierrae ssp. sierrae,Sierra Suncup,Vascular Plant,
Camissonia subacaulis,"Diffuseflower Evening Primrose, Diffuseflower Evening-Primrose, Longleaf Suncup, Northern Eveningprimrose",Vascular Plant,
Campanula aparinoides,"Marsh Bellflower, Marsh Bluebell",Vascular Plant,
Campanula divaricata,Southern Harebell,Vascular Plant,
Campanula rapunculoides,"Creeping Bellflower, Rampion Bellflower, Rover Bellflower",Vascular Plant,
Campanula rotundifolia,"Bluebell, Bluebell Bellflower, Bluebell-Of-Scotland, Roundleaf Harebell",Vascular Plant,
Campanulastrum americanum,Tall Bellflower,Vascular Plant,
Campostoma anomalum,Central Stoneroller,Fish,
Campostoma oligolepis,Largescale Stoneroller,Fish,
Campsis radicans,Trumpet-Creeper,Vascular Plant,
Campylium chrysophyllum,Goldenleaf Campylium Moss,Nonvascular Plant,
Campylium hispidulum,Hispid Campylium Moss,Nonvascular Plant,
Campylium polygamum,Campylium Moss,Nonvascular Plant,
Campylium radicale,Campylium Moss,Nonvascular Plant,
Campylopus atrovirens,Campylopus Moss,Nonvascular Plant,
Campylopus pilifer,Campylopus Moss,Nonvascular Plant,
Campylopus tallulensis,Tallul Campylopus Moss,Nonvascular Plant,
Campylostelium saxicola,Campylostelium Moss,Nonvascular Plant,
Canis latrans,Coyote,Mammal,Species of Concern
Canis lupus,"Gray Wolf, Wolf, Gray Wolf, Wolf, Gray Wolf",Mammal,Endangered
Canis rufus,Red Wolf,Mammal,Endangered
Cannabis sativa,"Grass, Hashish, Hemp, Marijuana, Mary Jane, Pot, Hemp, Marijuana, Marijuana",Vascular Plant,
Caprimulgus carolinensis,Chuck-Will's-Widow,Bird,
Caprimulgus vociferus,Whip-Poor-Will,Bird,
Capsella bursa-pastoris,"Common Shepherd's Purse, Shepherd's Purse, Shepherdspurse, Shepherd's-Purse",Vascular Plant,
Capsella rubella,Reddish Shepherd's Purse,Vascular Plant,
Caracara cheriway,Crested Caracara,Bird,
Carassius auratus,Goldfish,Fish,
Cardamine angustata,Pepperwort,Vascular Plant,
Cardamine breweri var. breweri,Brewer's Bittercress,Vascular Plant,
Cardamine bulbosa,Bulbous Bittercress,Vascular Plant,
Cardamine californica var. californica,Milkmaids,Vascular Plant,
Cardamine clematitis,"Mountain Watercress, Mountain Bitter Cress",Vascular Plant,Species of Concern
Cardamine concatenata,"Cutleaf Toothwort, Cut-Leaved Toothwort",Vascular Plant,
Cardamine diphylla,"Toothwort, Two-Leaf Toothwort",Vascular Plant,
Cardamine dissecta,Dissected-Leaved Toothwort,Vascular Plant,
Cardamine flagellifera,"Bitter Cress, Bittercress",Vascular Plant,
Cardamine hirsuta,"Hairy Bittercress, Hairy Bitter-Cress",Vascular Plant,
Cardamine oligosperma,"Idaho Bittercress, Little Western Bittercress",Vascular Plant,
Cardamine oligosperma var. oligosperma,Little Western Bittercress,Vascular Plant,
Cardamine pachystigma var. pachystigma,Serpentine Bittercress,Vascular Plant,
Cardamine parviflora var. arenicola,Sand Bittercress,Vascular Plant,
Cardamine pensylvanica,"Pennsylvania Bittercress, Pennsylvania Bitter-Cress, Pennsylvania Bittercress, Quaker Bittercress",Vascular Plant,
Cardamine rotundifolia,"Round Leaf Watercress, Round-Leaf Water Cress",Vascular Plant,
Cardaria chalapensis,"Heartpod Hoarycress, Hoary Cress, Lens Podded Hoary Cress, Lenspod Whitetop, Lens-Podded Hoary Whitetop, Peppergrass, Whitetop, Whiteweed",Vascular Plant,
Cardaria draba,"Globed-Podded Hoarycress, Heart-Pod Hoarycress, Heart-Podded Hoarycress, Hoary Cress, Peppergrass, Pepperweed Whitetop, Whitetop, Whiteweed",Vascular Plant,
Cardaria pubescens,"Globe-Pod Hoarycress, Globe-Podded Hoarycress, Hairy Whitetop, Hoary Cress, Whitetop",Vascular Plant,
Cardellina pusilla,Wilson's Warbler,Bird,
Cardinalis cardinalis,Northern Cardinal,Bird,
Carduelis flammea,Common Redpoll,Bird,
Carduelis pinus,Pine Siskin,Bird,
Carduelis tristis,American Goldfinch,Bird,
Carduus acanthoides,"Spiny Plumeless Thistle, Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",Vascular Plant,
Carduus nutans,Musk Thistle,Vascular Plant,
Carduus pycnocephalus,"Compact-Headed Thistle, Italian Plumeless Thistle, Italian Thistle",Vascular Plant,
Carex,"Carex, Sedge, Sedge Species, Sedges",Vascular Plant,
Carex abrupta,Abruptbeak Sedge,Vascular Plant,
Carex abscondita,Thicket Sedge,Vascular Plant,
Carex aestivalis,Summer Sedge,Vascular Plant,
Carex aggregata,Glomerate Sedge,Vascular Plant,
Carex albicans,Whitetinge Sedge,Vascular Plant,
Carex albicans var. albicans,Sedge,Vascular Plant,
Carex albicans var. australis,Sedge,Vascular Plant,
Carex albicans var. emmonsii,"Emmons Sedge, Sedge",Vascular Plant,
Carex albolutescens,"Greenish-White Sedge, Light-Colored Sedge",Vascular Plant,
Carex albonigra,"Blackandwhite Sedge, Black-And-White Sedge",Vascular Plant,
Carex albursina,"A Sedge, Sedge",Vascular Plant,
Carex amphibola,Eastern Narrowleaf Sedge,Vascular Plant,
Carex amphibola var. rigida,"A Sedge, Rigid Sedge",Vascular Plant,
Carex amphibola var. turgida,Turgid Sedge,Vascular Plant,
Carex amplectens,Claspbract Sedge,Vascular Plant,
Carex amplifolia,Bigleaf Sedge,Vascular Plant,
Carex angustata,"Common Meadow Sedge, Widefruit Sedge",Vascular Plant,
Carex annectens,"A Sedge, Sedge",Vascular Plant,
Carex appalachica,Appalachian Sedge,Vascular Plant,
Carex aquatilis,Water Sedge,Vascular Plant,
Carex aquatilis var. aquatilis,"Leafy Tussock Sedge, Water Sedge",Vascular Plant,
Carex atherodes,"Awned Sedge, Slough Sedge, Wheat Sedge",Vascular Plant,
Carex athrostachya,"Slenderbeak Sedge, Slender-Beak Sedge",Vascular Plant,
Carex atlantica,Prickly Bog Sedge,Vascular Plant,
Carex atlantica ssp. atlantica,Sedge,Vascular Plant,
Carex atlantica ssp. capillacea,Prickly Bog Sedge,Vascular Plant,
Carex aurea,"Golden Sedge, Golden-Fruit Sedge",Vascular Plant,
Carex austrocaroliniana,"A Sedge, South Carolina Sedge",Vascular Plant,
Carex backii,"Back's Sedge, Rocky Mountain Sedge",Vascular Plant,
Carex baileyi,"Bailey Sedge, Bailey's Sedge",Vascular Plant,
Carex barrattii,Barratt's Sedge,Vascular Plant,
Carex bebbii,"Bebb Sedge, Bebb's Sedge",Vascular Plant,
Carex biltmoreana,Biltmore Sedge,Vascular Plant,
Carex blanda,"Sedge, Woodland Sedge",Vascular Plant,
Carex bolanderi,"Bolander Sedge, Bolander's Sedge, Wood Sedge",Vascular Plant,
Carex brainerdii,Brainerd's Sedge,Vascular Plant,
Carex brevior,"Brevior Sedge, Fescue Sedge, Shortbeak Sedge",Vascular Plant,
Carex bromoides,"A Sedge, Sedge",Vascular Plant,
Carex brunnescens,Brownish Sedge,Vascular Plant,
Carex brunnescens ssp. brunnescens,Brownish Sedge,Vascular Plant,
Carex brunnescens ssp. sphaerostachya,"Brownish Sedge, Few Flowered Sedge",Vascular Plant,
Carex buxbaumii,"Brown Bog Sedge, Buxbaum Sedge, Buxbaum's Sedge",Vascular Plant,
Carex canescens,"Silver Sedge, Silvery Sedge",Vascular Plant,
Carex capillaris,"Hair Sedge, Hairlike Sedge, Hair-Like Sedge",Vascular Plant,
Carex capitata,"Arctic Sedge, Capitate Sedge",Vascular Plant,
Carex caroliniana,"Carolina Sedge, Hirsute Sedge",Vascular Plant,
Carex cephalophora,"Oval-Leaved Sedge, Sedge",Vascular Plant,
Carex cherokeensis,Cherokee Sedge,Vascular Plant,
Carex communis,"Common Sedge, Fibrous-Root Sedge",Vascular Plant,
Carex communis var. amplisquama,Dixie Sedge,Vascular Plant,Species of Concern
Carex communis var. communis,Fibrousroot Sedge,Vascular Plant,
Carex complanata,Blue Sedge,Vascular Plant,
Carex concinna,Low Northern Sedge,Vascular Plant,
Carex congdonii,Congdon's Sedge,Vascular Plant,
Carex conjuncta,Soft Fox Sedge,Vascular Plant,
Carex corrugata,Prune-Fruit Sedge,Vascular Plant,
Carex crebriflora,Coastalplain Sedge,Vascular Plant,
Carex crinita var. crinita,Drooping Sedge,Vascular Plant,
Carex cristatella,"Sedge, Small Crested Sedge",Vascular Plant,
Carex cumberlandensis,Local Sedge,Vascular Plant,
Carex cusickii,Cusick's Sedge,Vascular Plant,
Carex davyi,Davy's Sedge,Vascular Plant,
Carex debilis,"White Edge Sedge, White-Edge Sedge",Vascular Plant,
Carex debilis var. debilis,White Edge Sedge,Vascular Plant,
Carex debilis var. interjecta,Necklace Sedge,Vascular Plant,
Carex debilis var. pubera,Hairy Necklace Sedge,Vascular Plant,
Carex debilis var. rudgei,"Necklace Sedge, White-Edge Sedge",Vascular Plant,
Carex densa,Dense Sedge,Vascular Plant,
Carex diandra,"Lesser Panicled Sedge, Lesser Tussock Sedge",Vascular Plant,
Carex disperma,"Softleaf Sedge, Soft-Leaf Sedge, Softleaved Sedge",Vascular Plant,
Carex douglasii,"Douglas Sedge, Douglas' Sedge",Vascular Plant,
Carex eburnea,"Black-Fruited Sedge, Ebony Sedge",Vascular Plant,
Carex echinata ssp. echinata,"Star Sedge, Stellate Sedge",Vascular Plant,
Carex elynoides,"Blackroot Sedge, Black-Root Sedge",Vascular Plant,
Carex festucacea,Fescue Sedge,Vascular Plant,
Carex feta,Greensheath Sedge,Vascular Plant,
Carex filifolia,Threadleaf Sedge,Vascular Plant,
Carex filifolia var. erostrata,Shorthair Sedge,Vascular Plant,
Carex fissuricola,"Canyon Sedge, Cleft Sedge",Vascular Plant,
Carex flaccosperma,Thinfruit Sedge,Vascular Plant,
Carex flava,Yellow Sedge,Vascular Plant,
Carex fracta,Fragile Sheath Sedge,Vascular Plant,
Carex frankii,"Frank Sedge, Frank's Sedge",Vascular Plant,
Carex geyeri,"Elk Sedge, Geyer's Sedge",Vascular Plant,
Carex gracilescens,Slender Looseflower Sedge,Vascular Plant,
Carex gracillima,Graceful Sedge,Vascular Plant,
Carex granularis,Granular Sedge,Vascular Plant,
Carex gravida var. lunelliana,Heavy Sedge,Vascular Plant,
Carex grayi,Gray's Sedge,Vascular Plant,
Carex grisea,Inflated Narrow-Leaf Sedge,Vascular Plant,
Carex gynandra,"A Sedge, Drooping Sedge",Vascular Plant,
Carex gynocrates,"Bog Sedge, Northern Bog Sedge",Vascular Plant,
Carex hassei,"Hasse's Sedge, Salt Sedge, Saltsedge",Vascular Plant,
Carex haydeniana,"Cloud Sedge, Hayden Sedge, Hayden's Sedge",Vascular Plant,
Carex helleri,"Heller's Sedge, Sierra Sedge",Vascular Plant,
Carex heteroneura var. epapillosa,"Different Nerve Sedge, Different-Nerve Sedge, Nerve Sedge",Vascular Plant,
Carex heteroneura var. heteroneura,"Different Nerve Sedge, Different-Nerve Sedge",Vascular Plant,
Carex hirsutella,Hirsute Sedge,Vascular Plant,
Carex hoodii,"Hood Sedge, Hood's Sedge",Vascular Plant,
Carex illota,"Sheep Sedge, Smallhead Sedge",Vascular Plant,
Carex incurviformis var. danaensis,Coastal Sand Sedge,Vascular Plant,
Carex integra,"Smoothbead Sedge, Smoothbeak Sedge",Vascular Plant,
Carex interior,Inland Sedge,Vascular Plant,
Carex intumescens,Intumescent Sedge,Vascular Plant,
Carex jamesii,"James? Sedge, Nebraska Sedge",Vascular Plant,
Carex jonesii,"Jones Sedge, Jones' Sedge",Vascular Plant,
Carex kraliana,Kral's Sedge,Vascular Plant,
Carex laeviculmis,Smoothstem Sedge,Vascular Plant,
Carex laevivaginata,"Sedge, Smooth-Sheath Sedge",Vascular Plant,
Carex lanuginosa,Woolly Sedge,Vascular Plant,
Carex lasiocarpa,"Woollyfruit Sedge, Woolly-Fruit Sedge",Vascular Plant,
Carex laxiculmis,"Sedge, Spreading Sedge",Vascular Plant,
Carex laxiflora,"Broad Looseflower Sedge, Loose-Flowered Sedge",Vascular Plant,
Carex leavenworthii,Leavenworth Sedge,Vascular Plant,
Carex lemmonii,Lemmon's Sedge,Vascular Plant,
Carex lenticularis var. impressa,"Fewrib Sedge, Lakeshore Sedge",Vascular Plant,
Carex lenticularis var. lipocarpa,"Kellogg Sedge, Kellogg's Sedge",Vascular Plant,
Carex leporinella,"Hare Sedge, Sierra Hare Sedge, Sierrahare Sedge",Vascular Plant,
Carex leptalea,"Bristlestalked Sedge, Bristly-Stalk Sedge, Bristlystalked Sedge, Bristly-Stalk Sedge, Sedge",Vascular Plant,
Carex leptonervia,"Finely-Nerved Sedge, Nerved Sedge",Vascular Plant,
Carex limosa,Mud Sedge,Vascular Plant,
Carex livida,Livid Sedge,Vascular Plant,
Carex louisianica,Louisiana Sedge,Vascular Plant,
Carex lucorum var. austrolucorum,Blue Ridge Sedge,Vascular Plant,
Carex lucorum var. lucorum,Long-Beaked Sedge,Vascular Plant,
Carex lupulina,"A Sedge, Larger Hop Sedge",Vascular Plant,
Carex lurida,"Shallow Sedge, Smaller Hop Sedge",Vascular Plant,
Carex luzulifolia,Littleleaf Sedge,Vascular Plant,
Carex luzulina var. ablata,"Serrate Sedge, Woodrush Sedge",Vascular Plant,
Carex macloviana,"Falkland Island Sedge, Thickhead Sedge",Vascular Plant,
Carex macrochaeta,Alaska Large Awn Sedge,Vascular Plant,
Carex mariposana,Mariposa Sedge,Vascular Plant,
Carex microglochin,Fewseeded Bog Sedge,Vascular Plant,
Carex microptera,"Ovalhead Sedge, Smallwing Sedge",Vascular Plant,
Carex misera,"Miserable Sedge, Wretched Sedge",Vascular Plant,
Carex muehlenbergii var. muehlenbergii,Muhlenberg's Sedge,Vascular Plant,
Carex multicaulis,Manystem Sedge,Vascular Plant,
Carex multicostata,Manyrib Sedge,Vascular Plant,
Carex nebrascensis,Nebraska Sedge,Vascular Plant,
Carex nervina,"Nerved Sedge, Sierra Sedge",Vascular Plant,
Carex neurophora,"Alpine Nerve Sedge, Alpine Nerved Sedge, Alpinenerved Sedge",Vascular Plant,
Carex nigricans,Black Alpine Sedge,Vascular Plant,
Carex nigromarginata,"Black-Edge Sedge, Black-Margined Sedge",Vascular Plant,
Carex normalis,"A Sedge, Sedge",Vascular Plant,
Carex nudata,Naked Sedge,Vascular Plant,
Carex obtusata,"Blunt Sedge, Obtuse Sedge",Vascular Plant,
Carex oligocarpa,Sedge,Vascular Plant,
Carex oxylepis var. oxylepis,Sharpscale Sedge,Vascular Plant,
Carex pachystachya,"Chamisso Sedge, Thickhead Sedge",Vascular Plant,
Carex parryana var. parryana,Parry's Sedge,Vascular Plant,
Carex paysonis,"Payson Sedge, Payson's Sedge",Vascular Plant,
Carex pedunculata,"Longstalk Sedge, Peduncled Sedge",Vascular Plant,
Carex pellita,Woolly Sedge,Vascular Plant,
Carex pensylvanica,Pennsylvania Sedge,Vascular Plant,
Carex petasata,"Liddon Sedge, Liddon's Sedge",Vascular Plant,
Carex phaeocephala,"Dunehead Sedge, Dunhead Sedge",Vascular Plant,
Carex plantaginea,Plantain-Leaved Sedge,Vascular Plant,
Carex platylepis,Broadscale Sedge,Vascular Plant,
Carex platyphylla,"Broad-Leaved Sedge, Glaucous Broad-Leaved Sedge",Vascular Plant,
Carex praeceptorium,Early Sedge,Vascular Plant,
Carex praegracilis,"Clustered Field Sedge, Slim Sedge",Vascular Plant,
Carex prasina,Drooping Sedge,Vascular Plant,
Carex praticola,"Meadow Sedge, Northern Meadow Sedge",Vascular Plant,
Carex preslii,Presl's Sedge,Vascular Plant,
Carex projecta,"Necklace Sedge, Sedge",Vascular Plant,
Carex purpurifera,"Purple Sedge, Purple-Based Sedge",Vascular Plant,
Carex pyrenaica,Pyrenean Sedge,Vascular Plant,
Carex radiata,"Radiate Sedge, Stellate Sedge",Vascular Plant,
Carex raynoldsii,"Raynolds Sedge, Raynold's Sedge, Raynolds' Sedge",Vascular Plant,
Carex retroflexa,Reflexed Sedge,Vascular Plant,
Carex rosea,"A Sedge, Roseate Sedge",Vascular Plant,
Carex rossii,"Ross Sedge, Ross' Sedge, Ross's Sedge, Shortstemmed Sedge",Vascular Plant,
Carex rupestris,"Curly Sedge, Rock Sedge",Vascular Plant,
Carex ruthii,"Ruth Sedge, Ruth's Sedge",Vascular Plant,
Carex sartwelliana,Yosemite Sedge,Vascular Plant,
Carex sartwellii,"Sartwell Sedge, Sartwell's Sedge",Vascular Plant,
Carex scabrata,Rough Sedge,Vascular Plant,
Carex scoparia,"Pointed Broom Sedge, Sedge",Vascular Plant,
Carex scopulorum,"Holm's Rocky Mountain Sedge, Mountain Sedge",Vascular Plant,
Carex scopulorum var. bracteosa,"Craterlike Sedge, Mountain Sedge",Vascular Plant,
Carex senta,"Swamp Carex, Swamp Sedge",Vascular Plant,
Carex simulata,"Analogue Sedge, Shortbeak Sedge",Vascular Plant,
Carex sparganioides,"Bur-Reed Sedge, Sedge",Vascular Plant,
Carex specifica,Narrowfruit Sedge,Vascular Plant,
Carex spectabilis,Showy Sedge,Vascular Plant,
Carex squarrosa,"Round-Headed Sedge, Squarrose Sedge",Vascular Plant,
Carex stenoptila,Riverbank Sedge,Vascular Plant,
Carex stipata,"Stalk-Grain Sedge, Stipate Sedge",Vascular Plant,
Carex stipata var. stipata,Owlfruit Sedge,Vascular Plant,
Carex straminiformis,Shasta Sedge,Vascular Plant,
Carex striatula,Lined Sedge,Vascular Plant,
Carex stricta,Uptight Sedge,Vascular Plant,
Carex styloflexa,"Bent Sedge, Sedge",Vascular Plant,
Carex subfusca,Brown Sedge,Vascular Plant,
Carex subnigricans,"Black Sedge, Nearlyblack Sedge",Vascular Plant,
Carex swanii,"Swan Sedge, Swan's Sedge",Vascular Plant,
Carex tahoensis,Tahoe Sedge,Vascular Plant,
Carex texensis,Texas Sedge,Vascular Plant,
Carex tiogana,Tioga Pass Sedge,Vascular Plant,
Carex tompkinsii,Thompkins' Sedge,Vascular Plant,
Carex tonsa var. rugosperma,Parachute Sedge,Vascular Plant,
Carex torta,Twisted Sedge,Vascular Plant,
Carex tribuloides,"Blunt Broom Sedge, Sedge",Vascular Plant,
Carex trichocarpa,Hairyfruit Sedge,Vascular Plant,
Carex trisperma,Three-Seeded Sedge,Vascular Plant,
Carex umbellata,"A Sedge, Umbel Sedge",Vascular Plant,
Carex utriculata,Northwest Territory Sedge,Vascular Plant,
Carex vallicola,Valley Sedge,Vascular Plant,
Carex vernacula,"Native Sedge, Spring Sedge",Vascular Plant,
Carex vesicaria var. vesicaria,"Blister Sedge, Lesser Bladder Sedge",Vascular Plant,
Carex virescens,"Ribbed Sedge, Sedge",Vascular Plant,
Carex viridula,"Green Sedge, Little Green Sedge",Vascular Plant,
Carex vulpinoidea,Fox Sedge,Vascular Plant,
Carex whitneyi,"Whitney Sedge, Whitney's Sedge",Vascular Plant,
Carex willdenowii,Willdenow's Sedge,Vascular Plant,
Carphophis,"Worm Snakes, Wormsnakes",Reptile,
Carphophis amoenus amoenus,Eastern Worm Snake,Reptile,
Carphophis amoenus helenae,Midwest Worm Snake,Reptile,
Carpinus caroliniana,"American Hornbeam, American Hornbean",Vascular Plant,
Carpodacus cassinii,Cassin's Finch,Bird,
Carpodacus mexicanus,House Finch,Bird,
Carpodacus purpureus,Purple Finch,Bird,
Carum carvi,"Caraway, Caraway, Wild Caraway",Vascular Plant,
Carya alba,Mockernut Hickory,Vascular Plant,
Carya carolinae-septentrionalis,Carolina Shagbark Hickory,Vascular Plant,
Carya cordiformis,"Bitternut Hickory, Bitter-Nut Hickory",Vascular Plant,
Carya glabra,"Pignut Hickory, Sweet Pignut Hickory",Vascular Plant,
Carya illinoinensis,Pecan,Vascular Plant,
Carya laciniosa,Shellbark Hickory,Vascular Plant,
Carya ovalis,"Red Hickory, Sweet Pignut Hickory",Vascular Plant,
Carya ovata,"Shagbark Hickory, Shag-Bark Hickory",Vascular Plant,
Carya pallida,"Pale Hickory, Sand Hickory",Vascular Plant,
Cassiope mertensiana,"Western Moss Heather, White Heather",Vascular Plant,
Castanea dentata,American Chestnut,Vascular Plant,
Castanea mollissima,Chinese Chestnut,Vascular Plant,
Castanea pumila,Allegheny Chinkapin,Vascular Plant,
Castilleja applegatei,"Pine Indian Paintbrush, Wavyleaf Indian Paintbrush, Wavyleaf Paintbrush",Vascular Plant,
Castilleja applegatei ssp. disticha,Wavyleaf Indian Paintbrush,Vascular Plant,
Castilleja applegatei ssp. pallida,Wavyleaf Indian Paintbrush,Vascular Plant,
Castilleja applegatei ssp. pinetorum,Wavyleaf Indian Paintbrush,Vascular Plant,
Castilleja attenuata,"Attenuate Indian Paintbrush, Indian Paintbrush",Vascular Plant,
Castilleja coccinea,"Indian Paint-Brush, Scarlet Indian-Paintbrush",Vascular Plant,
Castilleja crista-galli,Mountainside Indian Paintbrush,Vascular Plant,
Castilleja cusickii,"Cusick's Indian Paintbrush, Cusick's Paintbrush",Vascular Plant,
Castilleja densiflora ssp. densiflora,Denseflower Indian Paintbrush,Vascular Plant,
Castilleja exserta ssp. exserta,"Exserted Indian Paintbrush, Owl Clover",Vascular Plant,
Castilleja foliolosa,Texas Indian Paintbrush,Vascular Plant,
Castilleja lacera,Cutleaf Indian Paintbrush,Vascular Plant,
Castilleja lemmonii,"Lemmon's Indian Paintbrush, Lemmon's Paintbrush",Vascular Plant,
Castilleja linariifolia,"Wyoming Indian Paintbrush, Wyoming Paintbrush",Vascular Plant,
Castilleja miniata,"Giant Red Indian Paintbrush, Great Red Indian Paintbrush, Great Red Indian-Paintbrush, Scarlet Indian Paintbrush, Scarlet Paintbrush",Vascular Plant,
Castilleja miniata ssp. miniata,Giant Red Indian Paintbrush,Vascular Plant,
Castilleja minor ssp. spiralis,"Annual Indian Paintbrush, Lesser Indian Paintbrush",Vascular Plant,
Castilleja nana,"Dwarf Alpine Indian Paintbrush, Dwarf Alpine Paintbrush",Vascular Plant,
Castilleja pallescens,"Pale Indian Paintbrush, Pale Paintbrush",Vascular Plant,
Castilleja parviflora,Mountain Indian Paintbrush,Vascular Plant,
Castilleja pilosa,"Hairy Paintbrush, Parrothead Indian Paintbrush",Vascular Plant,
Castilleja pilosa var. longispica,Longspike Indian Paintbrush,Vascular Plant,
Castilleja pulchella,Beautiful Indian Paintbrush,Vascular Plant,
Castilleja rhexiifolia,"Rhexialeaf Paintbrush, Splitleaf Indian Paintbrush",Vascular Plant,
Castilleja sulphurea,Sulphur Indian Paintbrush,Vascular Plant,Species of Concern
Castilleja tenuis,"Hairy Indian Paintbrush, Slender Paintbrush",Vascular Plant,
Castor canadensis,"American Beaver, Beaver, American Beaver, Beaver",Mammal,
Catabrosa aquatica,"Brookgrass, Water Whorl Grass, Water Whorlgrass",Vascular Plant,
Catalpa bignonioides,Southern Catalpa,Vascular Plant,
Catalpa speciosa,Northern Catalpa,Vascular Plant,
Cathartes aura,Turkey Vulture,Bird,Species of Concern
Catharus fuscescens,Veery,Bird,
Catharus guttatus,Hermit Thrush,Bird,
Catharus minimus,Gray-Cheeked Thrush,Bird,
Catharus ustulatus,Swainson's Thrush,Bird,
Catherpes mexicanus,Canyon Wren,Bird,
Catoptrophorus semipalmatus,Willet,Bird,
Catostomus ardens,Utah Sucker,Fish,
Catostomus catostomus,Longnose Sucker,Fish,
Catostomus commersoni,White Sucker,Fish,
Catostomus occidentalis,Sacramento Sucker,Fish,
Catostomus platyrhynchus,Mountain Sucker,Fish,
Caulophyllum thalictroides,Blue Cohosh,Vascular Plant,
Ceanothus americanus,New Jersey Tea,Vascular Plant,
Ceanothus cordulatus,Whitethorn Ceanothus,Vascular Plant,
Ceanothus cuneatus var. cuneatus,Buckbrush,Vascular Plant,
Ceanothus diversifolius,Pinemat,Vascular Plant,
Ceanothus fresnensis,Fresno Mat,Vascular Plant,
Ceanothus integerrimus,"Deerbrush, Deerbrush Ceanothus",Vascular Plant,
Ceanothus leucodermis,Chaparral Whitethorn,Vascular Plant,
Ceanothus parvifolius,Littleleaf Ceanothus,Vascular Plant,
Ceanothus velutinus var. velutinus,Snowbrush Ceanothus,Vascular Plant,
Celastrus orbiculatus,Oriental Bittersweet,Vascular Plant,
Celastrus scandens,Climbing Bittersweet,Vascular Plant,
Celtis laevigata,"Smooth Hackberry, Sugarberry",Vascular Plant,
Celtis occidentalis,Common Hackberry,Vascular Plant,
Celtis tenuifolia,Dwarf Hackberry,Vascular Plant,
